DATE,PRODUCT NAME,TRADED NOTIONAL,TRADE COUNT
2021/06/01,Fixed-for-Floating IRS,200943888455,3488
2021/06/02,Fixed-for-Floating IRS,227613851000,2001
2021/06/03,Fixed-for-Floating IRS,231261250000,2118
2021/06/04,Fixed-for-Floating IRS,322973091000,2568
2021/06/07,Fixed-for-Floating IRS,95549879000,1313
2021/06/08,Fixed-for-Floating IRS,341959307000,2429
2021/06/09,Fixed-for-Floating IRS,458816512600,3070
2021/06/10,Fixed-for-Floating IRS,315755831100,2357
2021/06/11,Fixed-for-Floating IRS,137818965000,1996
2021/06/14,Fixed-for-Floating IRS,165902080000,1824
2021/06/15,Fixed-for-Floating IRS,322204529000,2285
2021/06/16,Fixed-for-Floating IRS,345175153650,2223
2021/06/17,Fixed-for-Floating IRS,222968957000,3051
2021/06/18,Fixed-for-Floating IRS,232903460000,3284
2021/06/21,Fixed-for-Floating IRS,155128654300,2194
2021/06/22,Fixed-for-Floating IRS,316156266000,2456
2021/06/23,Fixed-for-Floating IRS,537664691000,2957
2021/06/24,Fixed-for-Floating IRS,325106491000,1936
2021/06/25,Fixed-for-Floating IRS,103935451000,1743
2021/06/28,Fixed-for-Floating IRS,111541621000,1639
2021/06/29,Fixed-for-Floating IRS,208238908000,1990
2021/06/30,Fixed-for-Floating IRS,275657186959,2384